codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0975A,"Pão, australiano, caseiro", ,376 kcal,18.1 g,63.4 g,9.66 g,6.90 g,7.21 g,0.00 g,1.96 g,13.4 mg,3.66 g,1.69 g,0.66 g,0.23 g,43.7 mg,4.97 mg,269 mg,98.9 mg,242 mg,344 mg,2.10 mg,0.48 mg,9.68 mcg,65.7 mcg,64.5 mcg,0.00 mcg,0.82 mg,0.18 mg,0.06 mg,1.16 mg,0.08 mg,0.01 mcg,0.00 mg,86.6 mcg,0.00 g,0.00 g,
C0196A,"Pão, batata, c/ farinha de trigo, caseiro", ,297 kcal,30.6 g,53.2 g,9.14 g,5.70 g,1.93 g,0.00 g,1.45 g,47.6 mg,2.03 g,1.43 g,1.52 g,0.07 g,52.3 mg,3.72 mg,332 mg,24.6 mg,123 mg,201 mg,0.86 mg,0.12 mg,7.10 mcg,45.8 mcg,45.4 mcg,0.23 mcg,0.71 mg,0.18 mg,0.13 mg,1.07 mg,0.02 mg,0.20 mcg,1.01 mg,125 mcg,0.60 g,2.40 g,
C0978A,"Pão, bolo, de tapioca, caseiro", ,291 kcal,48.1 g,30.9 g,3.25 g,17.2 g,0.23 g,0.00 g,0.60 g,81.5 mg,3.31 g,4.34 g,8.81 g,0.08 g,44.1 mg,0.35 mg,103 mg,5.96 mg,79.5 mg,81.3 mg,0.34 mg,0.06 mg,4.58 mcg,38.4 mcg,38.1 mcg,0.39 mcg,1.50 mg,0.04 mg,0.12 mg,0.41 mg,tr mg,0.30 mcg,0.00 mg,7.89 mcg,2.00 g,0.00 g,
C1049A,"Pão, c/ farinha de arroz, s/ glúten", ,267 kcal,39.4 g,50.0 g,4.31 g,5.65 g,0.47 g,0.00 g,0.57 g,0.62 mg,1.08 g,1.36 g,3.17 g,0.09 g,8.28 mg,9.68 mg,9.62 mg,17.9 mg,71.3 mg,59.2 mg,3.40 mg,0.04 mg,0.24 mcg,2.48 mcg,2.44 mcg,0.00 mcg,0.35 mg,0.79 mg,0.02 mg,0.07 mg,0.95 mg,0.02 mcg,72.9 mg,17.8 mcg,1.25 g,0.00 g,
C1074A,"Pão, c/ farinha de trigo, vegano, caseiro", ,339 kcal,23.4 g,59.9 g,7.79 g,7.98 g,1.81 g,0.00 g,1.01 g,0.00 mg,1.32 g,1.76 g,4.48 g,0.10 g,14.8 mg,4.19 mg,201 mg,24.0 mg,88.6 mg,128 mg,0.79 mg,0.14 mg,4.20 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.49 mg,0.17 mg,0.01 mg,0.60 mg,0.00 mcg,0.00 mg,10.7 mcg,0.50 g,7.00 g,
C0977A,"Pão, c/ recheio de linguiça calabresa e queijo muçarela, caseiro", ,297 kcal,34.6 g,43.1 g,11.2 g,9.22 g,1.61 g,0.00 g,1.92 g,52.5 mg,3.48 g,2.35 g,1.48 g,0.14 g,120 mg,3.06 mg,437 mg,23.6 mg,163 mg,200 mg,1.22 mg,0.11 mg,9.81 mcg,47.8 mcg,47.1 mcg,0.22 mcg,0.59 mg,0.20 mg,0.13 mg,1.10 mg,0.02 mg,0.45 mcg,0.94 mg,100 mcg,nan g,nan g,
C0123B,"Pão, de queijo, industrializado, assado", ,381 kcal,31.1 g,35.6 g,7.18 g,23.4 g,0.61 g,0.00 g,2.70 g,64.5 mg,5.69 g,5.02 g,6.86 g,1.26 g,106 mg,0.29 mg,804 mg,8.57 mg,97.5 mg,96.8 mg,0.66 mg,0.01 mg,- mcg,63.8 mcg,63.8 mcg,nan mcg,nan mg,0.04 mg,0.10 mg,tr mg,0.04 mg,nan mcg,nan mg,nan mcg,nan g,0.00 g,
C0094B,"Pão, de queijo, industrializado, cru", ,293 kcal,41.8 g,38.5 g,3.65 g,14.0 g,0.98 g,0.00 g,2.01 g,63.1 mg,3.40 g,3.00 g,4.10 g,0.75 g,87.6 mg,0.29 mg,404 mg,6.83 mg,78.8 mg,58.1 mg,0.43 mg,tr mg,nan mcg,47.5 mcg,47.5 mcg,0.00 mcg,nan mg,tr mg,0.08 mg,tr mg,tr mg,0.00 mcg,nan mg,nan mcg,nan g,0.00 g,
C0124B,"Pão, de queijo, industrializado, massa congelada, crua", ,295 kcal,41.7 g,38.7 g,3.65 g,14.0 g,nan g,nan g,2.01 g,63.1 mg,3.40 g,3.00 g,4.10 g,0.75 g,87.8 mg,0.29 mg,406 mg,6.84 mg,79.0 mg,58.2 mg,0.43 mg,tr mg,nan mcg,nan mcg,nan mcg,0.13 mcg,1.92 mg,tr mg,0.08 mg,tr mg,tr mg,0.18 mcg,0.00 mg,117 mcg,nan g,0.00 g,
C0880A,"Pão, francês, c/ linguiça, frita", ,276 kcal,42.2 g,28.0 g,15.0 g,11.8 g,1.19 g,0.00 g,2.88 g,41.0 mg,3.45 g,4.48 g,2.13 g,0.13 g,12.4 mg,2.55 mg,1059 mg,23.4 mg,170 mg,264 mg,2.30 mg,0.11 mg,3.32 mcg,0.93 mcg,0.93 mcg,0.56 mcg,0.44 mg,0.33 mg,0.35 mg,4.25 mg,0.29 mg,0.46 mcg,0.00 mg,68.4 mcg,nan g,nan g,
C0153A,"Pão, integral, c/ fibras, forma", ,268 kcal,32.6 g,50.5 g,11.3 g,3.31 g,4.32 g,0.00 g,2.30 g,nan mg,0.63 g,0.72 g,1.00 g,0.25 g,135 mg,3.08 mg,522 mg,62.4 mg,199 mg,168 mg,1.64 mg,0.15 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,2.52 mg,0.08 mg,0.04 mg,tr mg,0.15 mg,0.00 mcg,tr mg,46.4 mcg,nan g,nan g,
C0733A,"Pão, italiano", ,261 kcal,35.7 g,50.1 g,8.80 g,3.50 g,3.20 g,0.00 g,1.90 g,0.00 mg,0.00 g,0.81 g,1.39 g,nan g,78.0 mg,2.94 mg,550 mg,27.0 mg,103 mg,110 mg,0.86 mg,0.19 mg,27.2 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.29 mg,0.47 mg,0.29 mg,4.38 mg,0.05 mg,0.00 mcg,0.00 mg,304 mcg,nan g,nan g,
C1118A,"Pão, mandioca (aipim, macaxeira) e inhame, caseiro", ,236 kcal,49.8 g,40.8 g,0.95 g,7.90 g,1.24 g,0.00 g,0.48 g,nan mg,0.89 g,2.01 g,4.91 g,0.09 g,23.9 mg,0.29 mg,0.87 mg,16.4 mg,25.7 mg,113 mg,0.17 mg,0.04 mg,0.39 mcg,11.0 mcg,5.69 mcg,0.00 mcg,0.50 mg,0.04 mg,0.00 mg,0.02 mg,0.03 mg,0.00 mcg,5.14 mg,7.73 mcg,0.00 g,0.40 g,
C0146A,"Pão, milho, forma", ,278 kcal,30.4 g,56.4 g,8.30 g,3.11 g,4.30 g,0.00 g,1.77 g,5.68 mg,0.60 g,0.60 g,1.00 g,0.07 g,77.8 mg,3.04 mg,506 mg,29.4 mg,110 mg,89.0 mg,0.82 mg,0.10 mg,5.50 mcg,2.06 mcg,1.03 mcg,0.00 mcg,0.17 mg,0.08 mg,tr mg,tr mg,0.08 mg,0.22 mcg,tr mg,118 mcg,nan g,nan g,
C1048A,"Pão, sírio, integral", ,266 kcal,30.6 g,55.9 g,9.80 g,1.71 g,6.10 g,0.00 g,2.00 g,0.00 mg,0.15 g,0.25 g,0.75 g,nan g,15.0 mg,3.06 mg,527 mg,69.0 mg,180 mg,170 mg,1.52 mg,0.29 mg,44.0 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.61 mg,0.34 mg,0.08 mg,2.84 mg,0.27 mg,0.00 mcg,0.00 mg,35.0 mcg,nan g,nan g,
C0575A,"Pão, sírio, trigo", ,266 kcal,32.1 g,55.7 g,9.10 g,1.20 g,2.20 g,0.00 g,1.90 g,0.00 mg,0.17 g,0.11 g,0.54 g,nan g,86.0 mg,2.62 mg,536 mg,26.0 mg,97.0 mg,120 mg,0.84 mg,0.17 mg,27.1 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.30 mg,0.60 mg,0.33 mg,4.63 mg,0.40 mg,0.00 mcg,0.00 mg,165 mcg,nan g,nan g,
C0032N,"Pão, trigo, aveia, c/ fibras, forma, diet", ,289 kcal,27.3 g,54.9 g,12.3 g,3.29 g,4.78 g,0.00 g,2.16 g,tr mg,1.10 g,1.00 g,1.60 g,0.12 g,108 mg,4.73 mg,605 mg,56.7 mg,182 mg,210 mg,1.73 mg,0.14 mg,nan mcg,nan mcg,3.73 mcg,0.00 mcg,0.36 mg,0.09 mg,0.03 mg,tr mg,0.08 mg,0.03 mcg,tr mg,100.0 mcg,nan g,nan g,
C0828A,"Pão, trigo, batata, assado, c/ recheio, de requeijão", ,294 kcal,36.3 g,43.1 g,9.29 g,9.66 g,1.55 g,0.00 g,1.65 g,52.8 mg,4.36 g,2.42 g,1.27 g,0.19 g,98.6 mg,3.00 mg,377 mg,21.8 mg,188 mg,179 mg,0.97 mg,0.11 mg,8.28 mcg,79.5 mcg,79.0 mcg,0.27 mcg,0.70 mg,0.14 mg,0.14 mg,0.86 mg,0.02 mg,0.24 mcg,0.81 mg,102 mcg,nan g,nan g,
C0148A,"Pão, trigo, bisnaguinha", ,315 kcal,24.9 g,59.5 g,7.31 g,6.03 g,3.20 g,0.00 g,2.26 g,15.6 mg,1.61 g,2.52 g,1.10 g,0.70 g,82.3 mg,2.75 mg,218 mg,23.0 mg,90.0 mg,98.6 mg,1.44 mg,0.11 mg,5.50 mcg,nan mcg,2.60 mcg,0.00 mcg,0.15 mg,0.36 mg,0.22 mg,3.32 mg,0.05 mg,0.11 mcg,1.15 mg,148 mcg,nan g,nan g,
C0003A,"Pão, trigo, branco, forma, tradicional (média de diferentes marcas)", ,260 kcal,34.6 g,51.5 g,9.53 g,2.41 g,2.68 g,0.00 g,1.98 g,0.00 mg,0.56 g,0.64 g,0.80 g,0.21 g,100.0 mg,3.42 mg,860 mg,52.9 mg,144 mg,248 mg,1.39 mg,0.13 mg,5.50 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.16 mg,0.08 mg,0.04 mg,tr mg,0.15 mg,0.00 mcg,tr mg,132 mcg,nan g,nan g,
C0004A,"Pão, trigo, branco, hamburguer/hot dog/leite, de padaria (média de diferentes tipos)", ,292 kcal,28.7 g,56.2 g,9.39 g,3.87 g,2.84 g,0.00 g,1.82 g,22.6 mg,1.09 g,0.95 g,0.95 g,0.08 g,49.6 mg,3.63 mg,413 mg,21.3 mg,96.7 mg,87.6 mg,2.05 mg,tr mg,5.50 mcg,tr mcg,tr mcg,0.00 mcg,0.27 mg,0.08 mg,0.04 mg,tr mg,0.14 mg,0.22 mcg,tr mg,124 mcg,nan g,nan g,
C0151A,"Pão, trigo, c/ aveia e soja, forma", ,258 kcal,35.0 g,50.4 g,10.3 g,2.25 g,2.75 g,0.00 g,1.98 g,tr mg,0.63 g,0.60 g,0.83 g,nan g,88.2 mg,3.84 mg,491 mg,46.0 mg,147 mg,170 mg,1.40 mg,0.11 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.71 mg,0.07 mg,0.02 mg,tr mg,0.07 mg,0.00 mcg,tr mg,44.8 mcg,nan g,nan g,
C0086N,"Pão, trigo, c/ fibras, forma", ,231 kcal,38.6 g,46.5 g,12.1 g,0.64 g,4.53 g,0.00 g,2.16 g,nan mg,0.12 g,0.14 g,0.19 g,nan g,123 mg,2.81 mg,476 mg,56.8 mg,181 mg,153 mg,1.49 mg,0.14 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.49 mg,0.07 mg,0.04 mg,tr mg,0.14 mg,0.00 mcg,tr mg,42.3 mcg,nan g,nan g,
C0874A,"Pão, trigo, ciabatta", ,269 kcal,35.3 g,50.8 g,10.1 g,1.90 g,3.00 g,0.00 g,1.90 g,0.00 mg,0.28 g,0.67 g,0.70 g,0.02 g,60.0 mg,1.56 mg,486 mg,28.0 mg,103 mg,127 mg,0.87 mg,nan mg,10.6 mcg,0.00 mcg,0.00 mcg,nan mcg,0.30 mg,0.56 mg,0.04 mg,4.13 mg,0.08 mg,0.01 mcg,0.00 mg,365 mcg,nan g,nan g,
C0193A,"Pão, trigo, doce, c/ creme de confeiteiro", ,263 kcal,36.9 g,49.2 g,8.09 g,4.23 g,2.16 g,0.00 g,1.56 g,49.7 mg,1.40 g,1.18 g,0.84 g,0.06 g,59.8 mg,2.85 mg,323 mg,18.3 mg,98.4 mg,93.0 mg,1.71 mg,0.00 mg,6.00 mcg,34.8 mcg,34.4 mcg,0.14 mcg,0.24 mg,0.07 mg,0.08 mg,0.27 mg,0.11 mg,0.27 mcg,0.00 mg,99.4 mcg,nan g,nan g,
C0080N,"Pão, trigo, doce, c/ creme diet", ,231 kcal,43.4 g,44.3 g,7.81 g,3.01 g,2.15 g,0.00 g,1.55 g,19.3 mg,0.88 g,0.74 g,0.72 g,0.06 g,66.2 mg,2.74 mg,340 mg,18.7 mg,93.1 mg,99.5 mg,1.64 mg,0.01 mg,5.07 mcg,2.59 mcg,1.90 mcg,0.00 mcg,0.21 mg,0.07 mg,0.09 mg,0.36 mg,0.11 mg,0.18 mcg,tr mg,94.9 mcg,0.00 g,0.00 g,
C0150A,"Pão, trigo, fonte de fibra, forma (média de vários tipos)", ,255 kcal,34.7 g,49.8 g,10.8 g,2.52 g,4.86 g,0.00 g,2.20 g,tr mg,0.70 g,0.70 g,1.05 g,0.20 g,120 mg,3.86 mg,555 mg,58.6 mg,187 mg,186 mg,1.66 mg,0.14 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.92 mg,0.08 mg,0.04 mg,tr mg,0.12 mg,0.00 mcg,tr mg,45.0 mcg,nan g,nan g,
C0033N,"Pão, trigo, forma, diet/light", ,242 kcal,36.0 g,49.8 g,11.5 g,0.53 g,4.21 g,0.00 g,2.13 g,0.00 mg,0.12 g,0.23 g,0.12 g,- g,105 mg,3.57 mg,536 mg,25.8 mg,135 mg,85.1 mg,1.38 mg,0.07 mg,nan mcg,nan mcg,0.00 mcg,0.00 mcg,0.04 mg,0.46 mg,0.32 mg,4.08 mg,0.05 mg,0.31 mcg,0.56 mg,154 mcg,nan g,nan g,
C0145A,"Pão, trigo, gluten, forma", ,244 kcal,40.7 g,44.1 g,12.0 g,2.73 g,2.48 g,0.00 g,0.53 g,nan mg,0.50 g,0.60 g,0.70 g,0.16 g,155 mg,5.71 mg,399 mg,24.2 mg,105 mg,64.7 mg,1.28 mg,0.06 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.45 mg,0.04 mg,0.03 mg,tr mg,tr mg,0.00 mcg,tr mg,171 mcg,nan g,nan g,
C0149A,"Pão, trigo, integral", ,232 kcal,39.4 g,45.9 g,10.7 g,1.79 g,5.58 g,0.00 g,2.15 g,nan mg,0.34 g,0.39 g,0.54 g,0.14 g,122 mg,2.77 mg,469 mg,56.1 mg,179 mg,151 mg,1.47 mg,0.14 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.36 mg,0.07 mg,0.04 mg,tr mg,0.14 mg,0.00 mcg,tr mg,41.7 mcg,nan g,nan g,
C1089A,"Pão, trigo, integral, c/ chia, c/ macadâmia", ,284 kcal,32.8 g,46.5 g,10.7 g,7.62 g,6.91 g,0.00 g,2.29 g,0.00 mg,1.21 g,3.56 g,101 g,0.18 g,151 mg,3.20 mg,446 mg,76.5 mg,222 mg,182 mg,1.88 mg,0.13 mg,4.95 mcg,0.22 mcg,0.11 mcg,0.00 mcg,1.79 mg,0.20 mg,0.05 mg,0.57 mg,0.14 mg,0.00 mcg,0.14 mg,83.5 mcg,nan g,nan g,
C0154A,"Pão, trigo, integral, c/ fibras, forma", ,261 kcal,33.7 g,51.5 g,9.95 g,2.50 g,3.92 g,0.00 g,2.26 g,nan mg,0.48 g,0.55 g,0.75 g,0.19 g,133 mg,3.03 mg,513 mg,61.3 mg,196 mg,165 mg,1.61 mg,0.15 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.90 mg,0.08 mg,0.04 mg,tr mg,0.15 mg,0.00 mcg,tr mg,45.6 mcg,nan g,nan g,
C1088A,"Pão, trigo, integral, c/ quinoa, c/ castanha do Brasil", ,250 kcal,39.6 g,43.1 g,9.86 g,5.36 g,5.06 g,0.00 g,2.07 g,0.00 mg,1.16 g,1.83 g,1.77 g,0.16 g,114 mg,2.72 mg,402 mg,72.4 mg,207 mg,183 mg,1.62 mg,0.21 mg,165 mcg,0.20 mcg,0.10 mcg,0.00 mcg,1.96 mg,0.09 mg,0.05 mg,0.06 mg,0.15 mg,0.00 mcg,0.00 mg,81.7 mcg,nan g,nan g,
C0155A,"Pão, trigo, integral, forma (média de diferentes marcas)", ,249 kcal,36.1 g,48.6 g,10.5 g,2.54 g,5.29 g,0.00 g,2.22 g,0.00 mg,0.49 g,0.56 g,0.77 g,0.20 g,128 mg,2.92 mg,495 mg,59.2 mg,189 mg,159 mg,1.55 mg,0.14 mg,5.50 mcg,0.24 mcg,0.12 mcg,nan mcg,1.93 mg,0.08 mg,0.04 mg,tr mg,0.14 mg,0.00 mcg,tr mg,92.2 mcg,nan g,nan g,
C0147A,"Pão, trigo, leite, industrializado (média de diferentes marcas)", ,284 kcal,31.3 g,53.9 g,8.15 g,4.63 g,2.97 g,0.00 g,2.01 g,12.0 mg,0.87 g,1.40 g,0.61 g,0.44 g,75.3 mg,2.51 mg,199 mg,21.0 mg,82.3 mg,90.1 mg,1.44 mg,0.72 mg,5.50 mcg,nan mcg,2.00 mcg,0.00 mcg,0.12 mg,0.33 mg,0.20 mg,3.03 mg,0.05 mg,0.10 mcg,1.05 mg,135 mcg,nan g,nan g,
C0158A,"Pão, trigo, p/ hambúrguer", ,283 kcal,31.0 g,53.3 g,9.67 g,4.14 g,3.14 g,0.00 g,1.90 g,24.1 mg,1.17 g,1.02 g,1.02 g,0.09 g,48.0 mg,2.11 mg,400 mg,20.6 mg,93.5 mg,84.7 mg,2.47 mg,tr mg,nan mcg,nan mcg,30.7 mcg,0.00 mcg,0.29 mg,0.07 mg,0.04 mg,tr mg,0.14 mg,0.21 mcg,tr mg,137 mcg,nan g,nan g,
C0159A,"Pão, trigo, p/ hot dog", ,292 kcal,29.3 g,54.0 g,10.1 g,4.63 g,2.95 g,0.00 g,2.00 g,27.0 mg,1.30 g,1.14 g,1.14 g,0.10 g,49.2 mg,2.16 mg,410 mg,21.2 mg,95.9 mg,86.8 mg,2.53 mg,tr mg,nan mcg,nan mcg,34.3 mcg,0.00 mcg,0.32 mg,0.08 mg,0.04 mg,tr mg,0.14 mg,0.22 mcg,tr mg,141 mcg,nan g,nan g,
C0160A,"Pão, trigo, sovado", ,300 kcal,25.8 g,61.5 g,8.40 g,2.84 g,2.43 g,0.00 g,1.55 g,16.6 mg,0.80 g,0.70 g,0.70 g,0.06 g,51.6 mg,2.27 mg,430 mg,22.2 mg,100 mg,91.2 mg,2.66 mg,tr mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.07 mg,0.08 mg,0.04 mg,tr mg,0.15 mg,0.00 mcg,tr mg,188 mcg,nan g,nan g,
C0157A,"Pão, trigo/centeio, preto, forma", ,250 kcal,36.0 g,49.0 g,10.0 g,2.70 g,5.38 g,0.00 g,2.24 g,nan mg,0.52 g,0.59 g,0.81 g,0.21 g,129 mg,2.93 mg,496 mg,59.3 mg,189 mg,159 mg,1.56 mg,0.14 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,2.05 mg,0.08 mg,0.04 mg,tr mg,0.14 mg,0.00 mcg,tr mg,44.1 mcg,nan g,nan g,
C0428N,"Papa de abacate e banana, s/ açúcar", ,92 kcal,78.7 g,16.3 g,1.21 g,3.20 g,3.13 g,0.00 g,0.62 g,0.00 mg,0.88 g,1.59 g,0.52 g,0.00 g,5.72 mg,0.25 mg,0.00 mg,24.0 mg,20.8 mg,260 mg,0.20 mg,0.10 mg,0.17 mcg,15.9 mcg,7.95 mcg,0.00 mcg,0.04 mg,0.00 mg,0.02 mg,0.00 mg,0.06 mg,0.00 mcg,9.28 mg,32.2 mcg,0.00 g,0.00 g,
C0671N,"Papa de ameixa e mamão, c/ aveia em flocos, s/ açúcar", ,153 kcal,61.6 g,29.4 g,5.36 g,2.78 g,4.60 g,0.00 g,0.76 g,0.15 mg,0.49 g,1.04 g,0.99 g,0.02 g,17.3 mg,7.50 mg,1.55 mg,40.7 mg,59.4 mg,158 mg,0.87 mg,0.18 mg,0.23 mcg,10.7 mcg,51.5 mcg,0.00 mcg,0.02 mg,0.20 mg,0.02 mg,1.43 mg,0.01 mg,0.00 mcg,3.10 mg,32.1 mcg,0.00 g,0.00 g,
C0673N,"Papa de ameixa, batata doce e banana, s/ açúcar", ,84 kcal,77.0 g,21.3 g,0.97 g,0.12 g,2.47 g,0.00 g,0.61 g,0.00 mg,0.03 g,0.00 g,0.03 g,0.00 g,10.5 mg,0.22 mg,1.12 mg,17.0 mg,18.8 mg,223 mg,0.13 mg,0.07 mg,0.11 mcg,482 mcg,241 mcg,0.00 mcg,0.43 mg,0.06 mg,0.00 mg,1.07 mg,0.07 mg,0.00 mcg,16.2 mg,12.2 mcg,0.00 g,0.00 g,
C0672N,"Papa de ameixa, manga e melão, s/ açúcar", ,46 kcal,86.9 g,11.8 g,0.64 g,0.15 g,1.94 g,0.00 g,0.48 g,0.00 mg,0.04 g,0.03 g,0.02 g,0.00 g,5.75 mg,0.14 mg,3.25 mg,6.33 mg,11.5 mg,158 mg,0.07 mg,0.06 mg,0.26 mcg,11.2 mcg,5.60 mcg,0.00 mcg,0.28 mg,0.04 mg,0.01 mg,0.00 mg,0.02 mg,0.00 mcg,14.7 mg,18.7 mcg,0.00 g,0.00 g,
C0174N,"Papa de arroz polido, abobrinha e ovo , c/ caldo de frango, c/ cebola, s/ óleo, c/ sal", ,76 kcal,83.8 g,7.75 g,4.42 g,3.20 g,0.72 g,0.00 g,0.82 g,117 mg,0.96 g,1.20 g,0.52 g,0.01 g,20.2 mg,0.56 mg,181 mg,12.4 mg,65.5 mg,86.6 mg,0.53 mg,0.05 mg,5.28 mcg,33.2 mcg,16.8 mcg,0.58 mcg,0.35 mg,0.03 mg,0.08 mg,0.09 mg,0.02 mg,0.30 mcg,0.79 mg,19.0 mcg,0.25 g,0.00 g,
C0175N,"Papa de arroz polido, abobrinha e ovo , c/ caldo de frango, c/ cebola, s/ óleo, s/ sal", ,76 kcal,84.0 g,7.77 g,4.43 g,3.20 g,0.72 g,0.00 g,0.57 g,117 mg,0.96 g,1.20 g,0.52 g,0.01 g,20.2 mg,0.56 mg,81.5 mg,12.4 mg,65.6 mg,87.0 mg,0.53 mg,0.05 mg,5.28 mcg,33.2 mcg,16.8 mcg,0.58 mcg,0.35 mg,0.03 mg,0.08 mg,0.09 mg,0.02 mg,0.30 mcg,0.80 mg,19.1 mcg,0.00 g,0.00 g,
C0170N,"Papa de arroz polido, abobrinha e ovo, c/ caldo de frango, c/ cebola e azeite de oliva, c/ sal", ,93 kcal,82.2 g,7.45 g,4.39 g,5.19 g,0.70 g,0.00 g,0.80 g,117 mg,1.25 g,2.66 g,0.73 g,0.01 g,20.0 mg,0.56 mg,179 mg,12.0 mg,65.1 mg,85.5 mg,0.52 mg,0.05 mg,5.26 mcg,32.3 mcg,16.4 mcg,0.58 mcg,0.42 mg,0.03 mg,0.08 mg,0.09 mg,0.02 mg,0.30 mcg,0.78 mg,18.8 mcg,0.25 g,0.00 g,
C0173N,"Papa de arroz polido, abobrinha e ovo, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal", ,93 kcal,82.4 g,7.45 g,4.39 g,5.19 g,0.70 g,0.00 g,0.56 g,117 mg,1.25 g,2.66 g,0.73 g,0.01 g,20.0 mg,0.56 mg,79.6 mg,12.0 mg,65.2 mg,85.5 mg,0.52 mg,0.05 mg,5.26 mcg,32.5 mcg,16.5 mcg,0.58 mcg,0.42 mg,0.03 mg,0.08 mg,0.09 mg,0.02 mg,0.30 mcg,0.78 mg,18.8 mcg,0.00 g,0.00 g,
C0171N,"Papa de arroz polido, abobrinha e ovo, c/ caldo de frango, c/ cebola e óleo de soja, c/ sal", ,93 kcal,82.2 g,7.45 g,4.39 g,5.19 g,0.70 g,0.00 g,0.80 g,117 mg,1.27 g,1.66 g,1.70 g,0.02 g,20.0 mg,0.55 mg,179 mg,12.0 mg,65.1 mg,85.4 mg,0.52 mg,0.06 mg,5.26 mcg,32.3 mcg,16.4 mcg,0.58 mcg,0.38 mg,0.03 mg,0.08 mg,0.09 mg,0.02 mg,0.30 mcg,0.78 mg,18.8 mcg,0.25 g,0.00 g,
C0172N,"Papa de arroz polido, abobrinha e ovo, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal", ,93 kcal,82.4 g,7.45 g,4.39 g,5.19 g,0.70 g,0.00 g,0.56 g,117 mg,1.27 g,1.66 g,1.70 g,0.02 g,20.0 mg,0.55 mg,79.6 mg,12.0 mg,65.2 mg,85.5 mg,0.52 mg,0.06 mg,5.26 mcg,32.5 mcg,16.5 mcg,0.58 mcg,0.38 mg,0.03 mg,0.08 mg,0.09 mg,0.02 mg,0.30 mcg,0.78 mg,18.8 mcg,0.00 g,0.00 g,
C0368N,"Papa de arroz polido, feijão carioca e carne bovina moída (acém), c/ caldo de frango, c/ cebola e azeite de oliva, c/ sal", ,131 kcal,72.9 g,9.97 g,10.2 g,6.05 g,2.26 g,0.00 g,0.87 g,32.7 mg,2.09 g,2.74 g,0.73 g,0.09 g,12.7 mg,1.18 mg,149 mg,21.6 mg,83.2 mg,173 mg,2.70 mg,0.11 mg,0.40 mcg,14.9 mcg,7.63 mcg,0.83 mcg,0.39 mg,0.01 mg,0.01 mg,0.56 mg,0.03 mg,0.81 mcg,0.46 mg,29.5 mcg,0.25 g,0.00 g,
C0371N,"Papa de arroz polido, feijão carioca e carne bovina moída (acém), c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal", ,131 kcal,73.1 g,9.99 g,10.2 g,6.05 g,2.26 g,0.00 g,0.62 g,32.7 mg,2.09 g,2.74 g,0.73 g,0.09 g,12.6 mg,1.18 mg,50.1 mg,21.6 mg,83.3 mg,174 mg,2.70 mg,0.11 mg,0.40 mcg,14.9 mcg,7.66 mcg,0.83 mcg,0.39 mg,0.01 mg,0.01 mg,0.56 mg,0.03 mg,0.81 mcg,0.47 mg,29.6 mcg,0.00 g,0.00 g,
C0369N,"Papa de arroz polido, feijão carioca e carne bovina moída (acém), c/ caldo de frango, c/ cebola e óleo de soja, c/ sal", ,131 kcal,72.9 g,9.97 g,10.2 g,6.05 g,2.26 g,0.00 g,0.87 g,32.7 mg,2.11 g,1.75 g,1.70 g,0.10 g,12.7 mg,1.17 mg,149 mg,21.6 mg,83.2 mg,173 mg,2.70 mg,0.12 mg,0.40 mcg,14.9 mcg,7.63 mcg,0.83 mcg,0.35 mg,0.01 mg,0.01 mg,0.56 mg,0.03 mg,0.81 mcg,0.46 mg,29.5 mcg,0.25 g,0.00 g,
